lcl,lwpl,lhpl,lypl,age
.2896378764025552,.3697906618200004,.2842639401466268,.6994950123808544,30
.2919184288608077,.3667995204375467,.2712107144866138,.6765862719656539,31
.2926786479952304,.3638083790550926,.2581574888266055,.6536775315504602,32
.2926471193539563,.3606158457223509,.2488613464949623,.635801741304995,33
.2921112912919218,.3574233123896112,.2395652041633237,.6179259510595362,34
.2910868133130253,.3546011176057284,.2324903765411008,.6039470297341722,35
.2895947016522332,.3517789228218451,.2254155489188778,.5899681084088088,36
.2876880384702115,.3494481274124102,.21920194008473,.578320697361729,37
.2854387384984366,.3471173320029765,.2129883312505797,.5666732863146459,38
.2829230694795741,.3449375224313354,.2067552404676896,.5557850491013134,39
.2803077824323006,.3427577128596949,.2005221496848011,.5448968118879892,40
.2779971699671526,.3399279938101625,.1947674765789227,.5344857937256684,41
.2763052842656771,.3370982747606312,.1890128034730452,.5240747755633418,42
.2753824417086719,.332978222563232,.1862608783461057,.5175584710230866,43
.2752586015398106,.3282790448878141,.1852059613671206,.5132245075798186,44
.2757228255899444,.3239203020072212,.1860749532905617,.5128362001262907,45
.2765481470301254,.3194819239844872,.1874506589064799,.5122943385349892,46
.2774521576107647,.3149584686399328,.1887107867891329,.5102420696264125,47
.2782147140943665,.3103757633149167,.1897896521438802,.5067590083757824,48
.2788509199277759,.3057339478959382,.1906645213639145,.5023582432279317,49
.279511281961357,.3007671210258461,.190926140270792,.4960835549104037,50
.2802745675432454,.2959994655219104,.1912805918530427,.4911810191242383,51
.2811255475113998,.2916138594311284,.1918003422413938,.4870000260984208,52
.2818199423323669,.2875180417606119,.191811617468835,.4824846453753695,53
.2818417141362761,.2831751633531744,.1910680332268828,.4767475990023966,54
.2805688173272025,.2781142406125306,.1895853223105569,.4690028272720488,55
.2775923587581887,.2722028625338727,.1879667748652034,.4596248654014399,56
.2725415318832347,.2660819864493703,.1859686673420387,.4476146149803921,57
.2651273106656334,.2601220623343071,.183822245408882,.4352514940965998,58
.2651273106656334,.2544643330747839,.1814455939793683,.4225339041387336,59
